SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 11:00:00,15
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 11:00:00,36
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 10:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 10:00:00,.1
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 10:00:00,49.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 10:00:00,29
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 10:00:00,2.01
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 10:00:00,15
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 09:00:00,49.6
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 09:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 09:00:00,.1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 09:00:00,10
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 09:00:00,2.6
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 09:00:00,32
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 08:00:00,.11
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 08:00:00,11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 08:00:00,2.55
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 08:00:00,34
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 08:00:00,48.9
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 08:00:00,.1
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 07:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 07:00:00,13
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 07:00:00,.63
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 07:00:00,31
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 07:00:00,49.8
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 07:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 06:00:00,0
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 06:00:00,49.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 06:00:00,33
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 06:00:00,.91
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 06:00:00,7
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 06:00:00,.1
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 05:00:00,35
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 05:00:00,13
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 05:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 05:00:00,.11
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 05:00:00,48
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 05:00:00,1.78
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 04:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 04:00:00,.11
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 04:00:00,49.5
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 04:00:00,37
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 04:00:00,1.33
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 04:00:00,13
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 03:00:00,50.6
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 03:00:00,.84
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 03:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 03:00:00,0
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 03:00:00,41
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 03:00:00,11
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 02:00:00,41
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 02:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 02:00:00,.11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 02:00:00,1.29
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 02:00:00,49.9
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 02:00:00,9
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 01:00:00,49.7
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 01:00:00,29
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 01:00:00,1.12
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 01:00:00,11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 01:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 01:00:00,.11
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 00:00:00,10
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 00:00:00,37
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 00:00:00,47.3
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 00:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 00:00:00,-.1
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 00:00:00,2.27
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 23:00:00,-.1
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 23:00:00,.99
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 23:00:00,36
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 23:00:00,48.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 23:00:00,.11
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 23:00:00,11
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 22:00:00,.11
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 22:00:00,48.9
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 22:00:00,.58
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 22:00:00,40
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 22:00:00,11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 22:00:00,-.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 21:00:00,.11
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 21:00:00,36
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 21:00:00,1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 21:00:00,11
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 21:00:00,47.6
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 21:00:00,-.1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 20:00:00,11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 20:00:00,1.49
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 20:00:00,40
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 20:00:00,45.8
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 20:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 20:00:00,-.1
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 19:00:00,42.6
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 19:00:00,29
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 19:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 19:00:00,10
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 19:00:00,4.65
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 19:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 18:00:00,-.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 18:00:00,.12
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 18:00:00,45.1
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 18:00:00,34
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 18:00:00,2.35
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 18:00:00,3
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 17:00:00,15
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 17:00:00,2.23
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 17:00:00,51
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 17:00:00,48
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 17:00:00,.12
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 17:00:00,0
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 16:00:00,-.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 16:00:00,.13
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 16:00:00,49.3
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 16:00:00,54
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 16:00:00,2.13
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 16:00:00,12
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 15:00:00,9
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 15:00:00,.57
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 15:00:00,42
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 15:00:00,50
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 15:00:00,.12
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 15:00:00,-.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 14:00:00,.12
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 14:00:00,49.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 14:00:00,42
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 14:00:00,-.1
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 14:00:00,1.67
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 14:00:00,20
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 13:00:00,36
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 13:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 13:00:00,11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 13:00:00,1.66
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 13:00:00,50.5
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 13:00:00,.12
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 12:00:00,.13
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 12:00:00,15
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 12:00:00,1.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 12:00:00,41
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 12:00:00,0
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 12:00:00,51.7
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 11:00:00,50.1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 11:00:00,12
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 11:00:00,1.33
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 11:00:00,26
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 11:00:00,.12
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 11:00:00,0
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 10:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 10:00:00,.13
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 10:00:00,48.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 10:00:00,42
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 10:00:00,3.16
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 10:00:00,17
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 09:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-01 09:00:00,.13
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-01 09:00:00,49.3
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-01 09:00:00,49
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-01 09:00:00,3.59
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 09:00:00,14
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-01 08:00:00,.1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-01 08:00:00,18
